m_id,gameId,matchId,gameDuration,season,gameVersion
1,5899922822,EUW1_5899922822,1796,12,12.10.442.9993
2,3145813789,EUN1_3145813789,1882,12,12.10.444.2068
3,5864679990,EUW1_5864679990,883,12,12.8.437.6765
4,3135617381,EUN1_3135617381,1778,12,12.9.439.127
5,3124970558,EUN1_3124970558,1684,12,12.8.437.6765
6,3109792126,EUN1_3109792126,1623,12,12.7.433.4138
7,3137656345,EUN1_3137656345,1795,12,12.10.442.9993
8,5851335236,EUW1_5851335236,1316,12,12.8.437.6765
9,3152787874,EUN1_3152787874,1652,12,12.11.446.9344
10,3132876437,EUN1_3132876437,2077,12,12.9.439.127
11,3134514822,EUN1_3134514822,1717,12,12.9.439.127
12,3111960253,EUN1_3111960253,1110,12,12.7.433.4138
13,3159349596,EUN1_3159349596,1932,12,12.12.450.4196
14,5936517430,EUW1_5936517430,2236,12,12.11.446.9344
15,3160144864,EUN1_3160144864,1827,12,12.12.450.4196
16,3148388531,EUN1_3148388531,1706,12,12.11.446.9344
17,5939455211,EUW1_5939455211,959,12,12.12.448.6653
18,5922755690,EUW1_5922755690,1343,12,12.11.446.9344
19,3129451011,EUN1_3129451011,1482,12,12.9.439.127
20,3137731331,EUN1_3137731331,1568,12,12.10.442.9993
21,5944876622,EUW1_5944876622,2314,12,12.12.450.4196
22,3153802181,EUN1_3153802181,1595,12,12.11.446.9344
23,3120489090,EUN1_3120489090,1871,12,12.8.437.6765
24,3118770555,EUN1_3118770555,1936,12,12.8.437.6765
25,5862232987,EUW1_5862232987,915,12,12.8.437.6765
26,3148839938,EUN1_3148839938,1662,12,12.11.446.9344
27,5909973322,EUW1_5909973322,1459,12,12.10.444.2068
28,3137028699,EUN1_3137028699,1387,12,12.10.442.9993
29,3160018407,EUN1_3160018407,1378,12,12.12.450.4196
30,3147377241,EUN1_3147377241,1930,12,12.11.445.6412
31,5898571610,EUW1_5898571610,1830,12,12.10.442.9993
32,5850431170,EUW1_5850431170,1425,12,12.8.437.6765
