p_id,t_id,m_id
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,2,1
7,2,1
8,2,1
9,2,1
10,2,1
11,3,2
12,3,2
13,3,2
14,3,2
15,3,2
16,4,2
17,4,2
18,4,2
19,4,2
20,4,2
21,5,3
22,5,3
23,5,3
24,5,3
25,5,3
26,6,3
27,6,3
28,6,3
29,6,3
30,6,3
31,7,4
32,7,4
33,7,4
34,7,4
35,7,4
36,8,4
37,8,4
38,8,4
39,8,4
40,8,4
41,9,5
42,9,5
43,9,5
44,9,5
45,9,5
46,10,5
47,10,5
48,10,5
49,10,5
50,10,5
51,11,6
52,11,6
53,11,6
54,11,6
55,11,6
56,12,6
57,12,6
58,12,6
59,12,6
60,12,6
61,13,7
62,13,7
63,13,7
64,13,7
65,13,7
66,14,7
67,14,7
68,14,7
69,14,7
70,14,7
71,15,8
72,15,8
73,15,8
74,15,8
75,15,8
76,16,8
77,16,8
78,16,8
79,16,8
80,16,8
81,17,9
82,17,9
83,17,9
84,17,9
85,17,9
86,18,9
87,18,9
88,18,9
89,18,9
90,18,9
91,19,10
92,19,10
93,19,10
94,19,10
95,19,10
96,20,10
97,20,10
98,20,10
99,20,10
100,20,10
101,21,11
102,21,11
103,21,11
104,21,11
105,21,11
106,22,11
107,22,11
108,22,11
109,22,11
110,22,11
111,23,12
112,23,12
113,23,12
114,23,12
115,23,12
116,24,12
117,24,12
118,24,12
119,24,12
120,24,12
121,25,13
122,25,13
123,25,13
124,25,13
125,25,13
126,26,13
127,26,13
128,26,13
129,26,13
130,26,13
131,27,14
132,27,14
133,27,14
134,27,14
135,27,14
136,28,14
137,28,14
138,28,14
139,28,14
140,28,14
141,29,15
142,29,15
143,29,15
144,29,15
145,29,15
146,30,15
147,30,15
148,30,15
149,30,15
150,30,15
151,31,16
152,31,16
153,31,16
154,31,16
155,31,16
156,32,16
157,32,16
158,32,16
159,32,16
160,32,16
161,33,17
162,33,17
163,33,17
164,33,17
165,33,17
166,34,17
167,34,17
168,34,17
169,34,17
170,34,17
171,35,18
172,35,18
173,35,18
174,35,18
175,35,18
176,36,18
177,36,18
178,36,18
179,36,18
180,36,18
181,37,19
182,37,19
183,37,19
184,37,19
185,37,19
186,38,19
187,38,19
188,38,19
189,38,19
190,38,19
191,39,20
192,39,20
193,39,20
194,39,20
195,39,20
196,40,20
197,40,20
198,40,20
199,40,20
200,40,20
201,41,21
202,41,21
203,41,21
204,41,21
205,41,21
206,42,21
207,42,21
208,42,21
209,42,21
210,42,21
211,43,22
212,43,22
213,43,22
214,43,22
215,43,22
216,44,22
217,44,22
218,44,22
219,44,22
220,44,22
221,45,23
222,45,23
223,45,23
224,45,23
225,45,23
226,46,23
227,46,23
228,46,23
229,46,23
230,46,23
231,47,24
232,47,24
233,47,24
234,47,24
235,47,24
236,48,24
237,48,24
238,48,24
239,48,24
240,48,24
241,49,25
242,49,25
243,49,25
244,49,25
245,49,25
246,50,25
247,50,25
248,50,25
249,50,25
250,50,25
251,51,26
252,51,26
253,51,26
254,51,26
255,51,26
256,52,26
257,52,26
258,52,26
259,52,26
260,52,26
261,53,27
262,53,27
263,53,27
264,53,27
265,53,27
266,54,27
267,54,27
268,54,27
269,54,27
270,54,27
271,55,28
272,55,28
273,55,28
274,55,28
275,55,28
276,56,28
277,56,28
278,56,28
279,56,28
280,56,28
281,57,29
282,57,29
283,57,29
284,57,29
285,57,29
286,58,29
287,58,29
288,58,29
289,58,29
290,58,29
291,59,30
292,59,30
293,59,30
294,59,30
295,59,30
296,60,30
297,60,30
298,60,30
299,60,30
300,60,30
301,61,31
302,61,31
303,61,31
304,61,31
305,61,31
306,62,31
307,62,31
308,62,31
309,62,31
310,62,31
311,63,32
312,63,32
313,63,32
314,63,32
315,63,32
316,64,32
317,64,32
318,64,32
319,64,32
320,64,32
321,65,33
322,65,33
323,65,33
324,65,33
325,65,33
326,66,33
327,66,33
328,66,33
329,66,33
330,66,33
331,67,34
332,67,34
333,67,34
334,67,34
335,67,34
336,68,34
337,68,34
338,68,34
339,68,34
340,68,34
341,69,35
342,69,35
