objectives.dragon.kills,objectives.inhibitor.kills,objectives.riftHerald.kills,objectives.tower.kills,win,teamId,m_id
1,2,1,9,1,1,1
3,0,0,6,0,2,1
1,0,0,2,0,3,2
4,4,2,11,1,4,2
0,0,0,1,0,5,3
1,1,1,8,1,6,3
3,0,1,3,0,7,4
1,1,0,8,1,8,4
2,0,0,0,0,9,5
2,3,2,11,1,10,5
3,0,0,5,0,11,6
1,2,1,9,1,12,6
4,1,0,9,1,13,7
0,0,1,5,0,14,7
3,0,1,6,1,15,8
0,0,1,2,0,16,8
0,0,2,3,0,17,9
4,1,0,7,1,18,9
2,0,1,3,0,19,10
3,4,0,11,1,20,10
3,0,1,1,0,21,11
1,2,0,10,1,22,11
1,0,0,1,0,23,12
2,1,1,8,1,24,12
2,1,0,8,1,25,13
2,0,1,4,0,26,13
4,1,2,9,1,27,14
1,2,0,8,0,28,14
1,0,0,5,0,29,15
4,0,1,5,1,30,15
4,2,1,9,1,31,16
0,0,1,2,0,32,16
2,0,1,3,1,33,17
0,0,0,0,0,34,17
1,2,2,10,1,35,18
2,0,0,3,0,36,18
1,2,1,10,1,37,19
2,0,0,1,0,38,19
1,0,2,3,0,39,20
3,1,0,7,1,40,20
2,0,1,4,0,41,21
3,2,0,9,1,42,21
0,0,0,2,0,43,22
4,2,1,10,1,44,22
4,2,1,9,1,45,23
0,1,0,8,0,46,23
1,0,1,4,0,47,24
4,1,0,9,1,48,24
1,1,1,9,1,49,25
0,0,0,0,0,50,25
2,1,0,6,1,51,26
2,0,0,4,0,52,26
0,0,0,0,0,53,27
3,1,1,11,1,54,27
3,3,2,11,1,55,28
0,0,0,1,0,56,28
1,0,0,2,0,57,29
2,0,2,6,1,58,29
2,1,0,4,0,59,30
3,2,1,10,1,60,30
2,0,0,8,0,61,31
3,1,2,8,1,62,31
0,0,2,4,0,63,32
3,1,0,8,1,64,32
0,0,1,1,0,65,33
3,1,0,7,1,66,33
2,1,1,10,1,67,34
2,0,1,2,0,68,34
2,1,0,8,1,69,35
3,1,2,8,0,70,35
2,2,2,7,0,71,36
3,2,0,9,1,72,36
1,0,0,3,0,73,37
2,1,2,9,1,74,37
1,0,0,2,0,75,38
3,2,1,10,1,76,38
0,0,1,0,0,77,39
2,1,0,8,1,78,39
3,3,1,8,1,79,40
3,0,0,3,0,80,40
4,0,0,1,1,81,41
0,0,0,2,0,82,41
0,0,0,2,0,83,42
4,1,2,8,1,84,42
3,2,1,9,1,85,43
1,0,0,3,0,86,43
2,1,2,9,1,87,44
2,0,0,3,0,88,44
3,2,2,11,1,89,45
1,0,0,0,0,90,45
3,0,0,1,0,91,46
1,1,2,8,1,92,46
2,1,2,8,1,93,47
0,0,0,0,0,94,47
3,2,0,9,1,95,48
1,1,0,5,0,96,48
0,0,1,1,0,97,49
4,2,0,10,1,98,49
1,0,0,1,0,99,50
3,1,1,10,1,100,50
3,2,2,10,1,101,51
2,1,0,5,0,102,51
0,0,0,4,0,103,52
3,1,2,8,1,104,52
0,0,1,0,0,105,53
3,1,0,6,1,106,53
0,0,1,2,0,107,54
3,0,1,3,1,108,54
1,0,1,5,0,109,55
4,2,1,10,1,110,55
3,0,2,6,0,111,56
2,3,0,9,1,112,56
3,0,0,5,1,113,57
2,0,2,4,0,114,57
1,1,1,8,1,115,58
0,0,0,0,0,116,58
2,1,1,7,1,117,59
3,2,0,7,0,118,59
5,0,1,4,0,119,60
0,2,1,10,1,120,60
1,1,2,10,1,121,61
2,0,0,4,0,122,61
2,0,0,4,0,123,62
2,1,2,10,1,124,62
1,1,0,8,0,125,63
4,1,1,7,1,126,63
2,0,2,5,0,127,64
2,2,0,11,1,128,64
1,1,1,9,1,129,65
2,0,1,2,0,130,65
0,0,0,2,0,131,66
4,0,1,3,1,132,66
2,0,1,6,1,133,67
1,0,0,0,0,134,67
2,1,2,9,1,135,68
2,0,0,2,0,136,68
1,0,0,4,0,137,69
2,2,2,9,1,138,69
2,1,0,7,1,139,70
1,0,2,2,0,140,70
0,0,0,1,0,141,71
4,1,1,8,1,142,71
0,0,0,0,0,143,72
2,0,1,3,1,144,72
0,0,1,1,0,145,73
3,1,1,7,1,146,73
3,3,1,11,1,147,74
0,0,0,1,0,148,74
1,0,1,3,0,149,75
2,1,0,7,1,150,75
1,0,1,2,1,151,76
0,0,0,0,0,152,76
4,3,1,11,1,153,77
0,0,1,5,0,154,77
2,2,0,9,1,155,78
1,0,1,4,0,156,78
0,0,0,0,0,157,79
2,0,1,2,1,158,79
1,2,1,10,1,159,80
3,0,0,3,0,160,80
2,0,1,4,1,161,81
0,0,0,0,0,162,81
3,1,1,8,1,163,82
1,0,0,2,0,164,82
1,1,1,8,1,165,83
0,0,0,1,0,166,83
